Company Name,Business segment,Business item,Description of Business item,Textual description of the business item- Long form description,Primary source,Link
Apple Inc.,Mac,Mac,Apple's line of personal computers.,"The Mac segment includes Apple's line of personal computers, which are a key revenue source and part of Apple's hardware offerings. This segment contributes significantly to the company's overall net sales.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,Services,licensed intellectual property,Apple offers licensed intellectual property as part of its Services segment.,"The Services segment includes licensed intellectual property, which Apple manages along with content and distribution rights. These offerings contribute significantly to the company's net sales and operating income.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,Services,content,Apple provides content as a key component of its Services segment.,"Content is part of the Services segment, which includes licensed intellectual property and distribution rights. Apple manages supplier arrangements and supply chain commitments related to these services.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,Services,distribution rights,Distribution rights are included in Apple's Services segment offerings.,"Distribution rights form a part of the Services segment, alongside licensed intellectual property and content. Apple manages these rights geographically to align with customer locations and market dynamics.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,iPad,iPad,Apple's tablet product line.,"The iPad segment includes Apple's tablet products along with related bundled software and services such as iCloud, Siri, and Maps. Revenue is recognized based on performance obligations including hardware delivery and product-related services.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,iPad,iCloud,Bundled software and service related to iPad products.,iCloud is part of the bundled software and services offered with Apple's iPad products. It contributes to the revenue recognized based on performance obligations related to product-related services.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,iPad,Siri,Bundled software and service related to iPad products.,Siri is included in the bundled software and services offered with Apple's iPad products. It is part of the performance obligations for which revenue is recognized.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,iPad,Maps,Bundled software and service related to iPad products.,Maps is one of the bundled software and services provided with Apple's iPad products. Revenue recognition includes product-related services like Maps.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,iPhone,iPhone,Apple's smartphone product line.,"The iPhone segment includes Apple's smartphone products, which are a major component of Apple's hardware revenue. This segment significantly contributes to net sales across geographic segments.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
MICROSOFT CORP,Intelligent Cloud,Azure,A cloud service supporting modern business and developers.,Azure is a cloud service included in the Intelligent Cloud segment that supports modern business and developers by providing cloud infrastructure and AI offerings.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Intelligent Cloud,GitHub,A cloud service supporting modern business and developers.,GitHub is a cloud service included in the Intelligent Cloud segment that supports modern business and developers by providing cloud infrastructure and AI offerings.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Intelligent Cloud,Nuance Healthcare cloud services,Cloud services focused on healthcare.,"Nuance Healthcare cloud services are part of the Intelligent Cloud segment, providing cloud-based solutions specifically for the healthcare industry.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Intelligent Cloud,Enterprise Support Services,Enterprise support services for IT professionals and developers.,"Enterprise Support Services are part of the Intelligent Cloud segment, offering professional services to enhance productivity and efficiency for IT professionals and developers.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Intelligent Cloud,Microsoft Partner Network,A network of enterprise and partner services.,"Microsoft Partner Network is included in the Intelligent Cloud segment as part of enterprise and partner services, supporting collaboration and business growth.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Windows OEM licensing,Licensing of Windows operating system to original equipment manufacturers.,Windows OEM licensing involves providing the Windows operating system to device manufacturers for pre-installation on personal computers. This enables a consistent user experience across devices.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Surface,Microsoft's line of personal computing devices.,"Surface devices are part of Microsoft's hardware offerings designed to enhance personal computing experiences. They include tablets, laptops, and hybrid devices.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,PC accessories,Peripheral devices that complement personal computers.,"PC accessories include hardware components that enhance or extend the functionality of personal computers, such as keyboards, mice, and other peripherals.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Xbox hardware,Gaming consoles developed by Microsoft.,Xbox hardware refers to Microsoft's gaming consoles that provide a platform for gaming and entertainment. These devices support various gaming and multimedia applications.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
