Company,Ticker,Segment,Segment description,Key products / services (keywords),Primary source,Link
Apple Inc.,AAPL,Mac,"The Mac segment includes Apple's line of personal computers. The text snippet primarily contains financial and tax-related information without detailed product descriptions, but the segment is identified as a key revenue source. The Mac segment is part of Apple's hardware offerings and contributes to the company's overall net sales.",Mac,Mac text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,Services,"The Services segment encompasses Apple's various service offerings, including licensed intellectual property, content, and distribution rights. The company manages supplier arrangements and supply chain commitments related to these services. The segment is also managed geographically to align with customer locations and market dynamics, contributing significantly to net sales and operating income.",Services (1),Services text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,"Wearables, Home and Accessories","This segment includes Apple's products related to wearables, home devices, and accessories. The text snippet provides net sales figures for this segment, indicating its contribution to Apple's total net sales. It is part of the hardware product categories alongside iPhone, Mac, and iPad.","Wearables, Home and Accessories","Wearables, Home and Accessories text snippet and revenue items",https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,iPad,"The iPad segment covers Apple's tablet products and related bundled software and services such as iCloud, Siri, and Maps. The company recognizes revenue based on performance obligations including hardware delivery and product-related services, allocating revenue accordingly.",iPad,iPad text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,iPhone,"The iPhone segment includes Apple's smartphone products. The text snippet references revenue recognition and deferred revenue related to iPhone sales, highlighting its significant contribution to net sales across geographic segments. The iPhone segment is a major component of Apple's hardware revenue.",iPhone,iPhone text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
MICROSOFT CORP,MSFT,Intelligent Cloud,"The Intelligent Cloud segment includes public, private, and hybrid server products and cloud services that support modern business and developers. It primarily consists of server products and cloud services such as Azure, GitHub, Nuance Healthcare cloud services, and enterprise and partner services including Enterprise Support Services and Microsoft Partner Network. This segment focuses on cloud infrastructure, AI offerings, server software, and professional services to enhance productivity and efficiency for IT professionals and developers.",Azure; GitHub; Nuance Healthcare; SQL Server; Windows Server; Visual Studio; System Center; Client Access Licenses (CALs); Enterprise Support Services; Industry Solutions; Nuance professional services; Microsoft Partner Network; Learning Experience; Server products and cloud services; Enterprise and partner services,10-K text snippet,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,MSFT,More Personal Computing,"The More Personal Computing segment consists of products and services that focus on personal user experience with technology. It includes Windows OEM licensing and devices such as Surface and PC accessories, gaming through Xbox hardware and content including Xbox Game Pass and Xbox Cloud Gaming, and search and news advertising via Bing, Microsoft Edge, and Microsoft News. This segment aims to deliver consistent, personal computing experiences and expand gaming and advertising ecosystems.",Windows OEM licensing; Surface; PC accessories; Xbox hardware; Xbox content and services; Xbox Game Pass; Xbox Cloud Gaming; Bing; Copilot; Microsoft News; Microsoft Edge; Search and news advertising; Windows and Devices; Gaming,10-K text snippet,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,MSFT,Productivity and Business Processes,"The Productivity and Business Processes segment includes productivity, communication, and information services across various devices and platforms. It comprises Microsoft 365 Commercial and Consumer products and cloud services, LinkedIn with its Talent, Marketing, Premium, and Sales Solutions, and Dynamics products and cloud services including Dynamics 365 and low code platforms like Power Apps and Power Automate. This segment focuses on AI-powered business productivity, professional networking, and intelligent business applications.",Microsoft 365 Commercial; Microsoft 365 Copilot; Enterprise Mobility + Security; Power BI; Exchange; SharePoint; Microsoft Teams; Microsoft 365 Security and Compliance; Microsoft 365 Consumer; LinkedIn; Talent Solutions; Marketing Solutions; Premium Subscriptions; Sales Solutions; Dynamics 365; Power Apps; Power Automate; Microsoft 365 Commercial products and cloud services; Microsoft 365 Consumer products and cloud services; LinkedIn; Dynamics products and cloud services,10-K text snippet,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Alphabet Inc.,GOOGL,Google Cloud,"Google Cloud segment includes cloud computing services and infrastructure offerings. It is reported separately from Google Services and Other Bets, reflecting its distinct business focus within Alphabet. The segment's profitability and revenue are tracked independently to highlight its performance.",Google Cloud,"10-K Part I, Item 1 Business and Note 15",https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,GOOGL,Google Services,"Google Services segment encompasses a broad range of consumer and advertiser-facing products and platforms. This includes Google Search, YouTube advertising, Google Network, and Google subscriptions, platforms, and devices. The segment represents the core business operations generating significant revenue and operating income.","Google Search & other; YouTube ads; Google Network; Google subscriptions, platforms, and devices","10-K Part I, Item 1 Business and Note 15",https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
